timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque,src_ip_int,dst_ip_int,protocol_encoded,flag_encoded,tipo_ataque_encoded,hour
2025-05-05 10:00:00,192.168.184.223,192.168.157.176,31807,TCP,A,Normal,3232282847,3232275888,0,0,1,10
2025-05-05 10:00:01,192.168.220.105,192.168.50.191,58463,TCP,P,Normal,3232291945,3232248511,0,2,1,10
2025-05-05 10:00:02,192.168.11.179,192.168.204.173,22134,UDP,,Port Scan,3232238515,3232287917,1,5,2,10
2025-05-05 10:00:03,192.168.179.87,192.168.49.30,3758,TCP,S,Port Scan,3232281431,3232248094,0,4,2,10
2025-05-05 10:00:04,192.168.135.24,192.168.120.19,30451,TCP,A,DDoS,3232270104,3232266259,0,0,0,10
2025-05-05 10:00:05,115.212.32.54,192.168.72.192,2679,UDP,,Normal,1943281718,3232254144,1,5,1,10
2025-05-05 10:00:06,197.10.100.128,192.168.20.32,29745,TCP,F,Normal,3305792640,3232240672,0,1,1,10
2025-05-05 10:00:07,204.142.47.49,192.168.51.206,60311,UDP,,SYN Flood,3431870257,3232248782,1,5,3,10
2025-05-05 10:00:08,210.193.193.136,192.168.140.71,37549,TCP,R,Normal,3535913352,3232271431,0,3,1,10
2025-05-05 10:00:09,192.168.181.83,192.168.122.47,62072,UDP,,DDoS,3232281939,3232266799,1,5,0,10
2025-05-05 10:00:10,92.106.228.61,192.168.232.42,11529,UDP,,SYN Flood,1550509117,3232294954,1,5,3,10
2025-05-05 10:00:11,173.138.96.253,192.168.108.222,50632,UDP,,SYN Flood,2911527165,3232263390,1,5,3,10
2025-05-05 10:00:12,144.142.176.80,192.168.14.153,42792,UDP,,Normal,2425270352,3232239257,1,5,1,10
2025-05-05 10:00:13,44.102.163.226,192.168.209.252,57686,UDP,,Normal,744924130,3232289276,1,5,1,10
2025-05-05 10:00:14,18.209.34.193,192.168.116.123,49203,UDP,,Normal,315695809,3232265339,1,5,1,10
2025-05-05 10:00:15,192.168.53.13,192.168.34.101,48292,TCP,R,Normal,3232249101,3232244325,0,3,1,10
2025-05-05 10:00:16,247.140.162.46,192.168.184.61,58185,UDP,,DDoS,4153188910,3232282685,1,5,0,10
2025-05-05 10:00:17,192.168.135.65,192.168.7.190,47848,UDP,,DDoS,3232270145,3232237502,1,5,0,10
2025-05-05 10:00:18,192.168.54.177,192.168.204.178,42524,TCP,F,Normal,3232249521,3232287922,0,1,1,10
2025-05-05 10:00:19,192.168.201.251,192.168.177.44,44397,UDP,,Normal,3232287227,3232280876,1,5,1,10
2025-05-05 10:00:20,44.251.12.253,192.168.178.69,7745,UDP,,Normal,754650365,3232281157,1,5,1,10
2025-05-05 10:00:21,192.168.129.113,192.168.181.203,17900,TCP,R,Normal,3232268657,3232282059,0,3,1,10
2025-05-05 10:00:22,192.168.168.65,192.168.41.233,9472,UDP,,Normal,3232278593,3232246249,1,5,1,10
2025-05-05 10:00:23,226.133.163.216,192.168.216.135,46246,UDP,,Port Scan,3800409048,3232290951,1,5,2,10
2025-05-05 10:00:24,192.168.254.196,192.168.143.25,9673,TCP,R,Normal,3232300740,3232272153,0,3,1,10
2025-05-05 10:00:25,192.168.178.242,192.168.185.198,21837,UDP,,Port Scan,3232281330,3232283078,1,5,2,10
2025-05-05 10:00:26,127.127.240.76,192.168.93.253,26723,UDP,,SYN Flood,2139091020,3232259581,1,5,3,10
2025-05-05 10:00:27,192.168.16.95,192.168.187.152,40623,TCP,S,Normal,3232239711,3232283544,0,4,1,10
2025-05-05 10:00:28,192.168.218.222,192.168.106.127,1356,UDP,,Normal,3232291550,3232262783,1,5,1,10
2025-05-05 10:00:29,23.119.135.230,192.168.117.203,16023,UDP,,Normal,393709542,3232265675,1,5,1,10
2025-05-05 10:00:30,107.38.122.235,192.168.212.242,15294,TCP,R,Normal,1797683947,3232290034,0,3,1,10
2025-05-05 10:00:31,183.189.205.173,192.168.90.79,57171,UDP,,Port Scan,3082669485,3232258639,1,5,2,10
2025-05-05 10:00:32,116.137.6.37,192.168.3.9,50547,UDP,,Normal,1955137061,3232236297,1,5,1,10
2025-05-05 10:00:33,30.216.231.6,192.168.228.192,51806,TCP,F,SYN Flood,517531398,3232294080,0,1,3,10
2025-05-05 10:00:34,177.72.161.222,192.168.228.78,29396,TCP,A,Normal,2974327262,3232293966,0,0,1,10
2025-05-05 10:00:35,192.168.55.41,192.168.39.252,520,TCP,S,Normal,3232249641,3232245756,0,4,1,10
2025-05-05 10:00:36,186.123.95.90,192.168.71.35,17469,UDP,,Normal,3128647514,3232253731,1,5,1,10
2025-05-05 10:00:37,192.168.212.171,192.168.77.109,3158,TCP,S,Normal,3232289963,3232255341,0,4,1,10
2025-05-05 10:00:38,192.168.229.190,192.168.43.46,34246,UDP,,DDoS,3232294334,3232246574,1,5,0,10
2025-05-05 10:00:39,126.154.186.41,192.168.231.203,35742,TCP,P,Normal,2124069417,3232294859,0,2,1,10
2025-05-05 10:00:40,192.168.12.207,192.168.191.175,29048,UDP,,Normal,3232238799,3232284591,1,5,1,10
2025-05-05 10:00:41,192.168.204.1,192.168.46.61,35775,TCP,F,Normal,3232287745,3232247357,0,1,1,10
2025-05-05 10:00:42,27.7.196.150,192.168.119.200,43441,TCP,A,Normal,453493910,3232266184,0,0,1,10
2025-05-05 10:00:43,53.186.97.89,192.168.121.100,5472,UDP,,Normal,901407065,3232266596,1,5,1,10
2025-05-05 10:00:44,192.168.54.119,192.168.34.118,33424,TCP,F,Normal,3232249463,3232244342,0,1,1,10
2025-05-05 10:00:45,192.168.168.234,192.168.255.28,28111,UDP,,Normal,3232278762,3232300828,1,5,1,10
2025-05-05 10:00:46,192.168.96.103,192.168.44.42,40707,TCP,A,SYN Flood,3232260199,3232246826,0,0,3,10
2025-05-05 10:00:47,123.221.221.103,192.168.167.65,1846,UDP,,Normal,2078137703,3232278337,1,5,1,10
2025-05-05 10:00:48,192.168.183.88,192.168.249.251,22937,UDP,,Normal,3232282456,3232299515,1,5,1,10
2025-05-05 10:00:49,19.203.73.32,192.168.88.227,2602,TCP,A,DDoS,332089632,3232258275,0,0,0,10
2025-05-05 10:00:50,96.39.142.244,192.168.42.102,63250,TCP,S,Normal,1613205236,3232246374,0,4,1,10
2025-05-05 10:00:51,192.168.18.128,192.168.105.225,52564,TCP,S,Normal,3232240256,3232262625,0,4,1,10
2025-05-05 10:00:52,192.168.134.82,192.168.161.237,21071,TCP,F,Normal,3232269906,3232276973,0,1,1,10
2025-05-05 10:00:53,161.182.191.117,192.168.161.113,62524,UDP,,SYN Flood,2713108341,3232276849,1,5,3,10
2025-05-05 10:00:54,25.191.83.198,192.168.82.186,15830,UDP,,Normal,431969222,3232256698,1,5,1,10
2025-05-05 10:00:55,227.48.240.197,192.168.56.231,16150,UDP,,Normal,3811635397,3232250087,1,5,1,10
2025-05-05 10:00:56,117.254.88.221,192.168.201.172,17040,TCP,S,Normal,1979603165,3232287148,0,4,1,10
2025-05-05 10:00:57,192.168.71.244,192.168.195.46,13744,UDP,,Normal,3232253940,3232285486,1,5,1,10
2025-05-05 10:00:58,210.127.0.65,192.168.250.69,26770,UDP,,Normal,3531538497,3232299589,1,5,1,10
2025-05-05 10:00:59,194.207.242.87,192.168.41.65,15950,TCP,S,Normal,3268407895,3232246081,0,4,1,10
2025-05-05 10:01:00,192.168.41.14,192.168.152.128,3402,UDP,,Normal,3232246030,3232274560,1,5,1,10
2025-05-05 10:01:01,102.203.137.222,192.168.86.214,35725,TCP,A,DDoS,1724615134,3232257750,0,0,0,10
2025-05-05 10:01:02,210.152.95.136,192.168.225.189,43887,TCP,S,Normal,3533201288,3232293309,0,4,1,10
2025-05-05 10:01:03,241.189.215.8,192.168.109.200,57980,TCP,R,SYN Flood,4055750408,3232263624,0,3,3,10
2025-05-05 10:01:04,192.168.10.205,192.168.217.229,13300,UDP,,DDoS,3232238285,3232291301,1,5,0,10
2025-05-05 10:01:05,82.88.11.132,192.168.98.246,30739,UDP,,DDoS,1381501828,3232260854,1,5,0,10
2025-05-05 10:01:06,192.168.59.212,192.168.222.167,51366,UDP,,SYN Flood,3232250836,3232292519,1,5,3,10
2025-05-05 10:01:07,192.168.243.166,192.168.122.229,17730,UDP,,Normal,3232297894,3232266981,1,5,1,10
2025-05-05 10:01:08,210.172.68.197,192.168.135.70,33401,TCP,P,Normal,3534505157,3232270150,0,2,1,10
2025-05-05 10:01:09,234.31.24.80,192.168.43.137,37032,TCP,A,Normal,3927906384,3232246665,0,0,1,10
2025-05-05 10:01:10,192.168.234.128,192.168.216.26,44121,UDP,,Normal,3232295552,3232290842,1,5,1,10
2025-05-05 10:01:11,192.168.25.192,192.168.115.100,44518,TCP,S,Normal,3232242112,3232265060,0,4,1,10
2025-05-05 10:01:12,66.74.25.241,192.168.5.19,22365,UDP,,Normal,1112152561,3232236819,1,5,1,10
2025-05-05 10:01:13,192.168.186.248,192.168.137.68,7284,TCP,P,DDoS,3232283384,3232270660,0,2,0,10
2025-05-05 10:01:14,192.168.48.4,192.168.60.203,14590,UDP,,Port Scan,3232247812,3232251083,1,5,2,10
2025-05-05 10:01:15,192.168.234.248,192.168.205.200,27009,UDP,,Normal,3232295672,3232288200,1,5,1,10
2025-05-05 10:01:16,231.252.244.69,192.168.175.200,15928,TCP,A,Normal,3892114501,3232280520,0,0,1,10
2025-05-05 10:01:17,147.34.69.161,192.168.196.188,37825,TCP,S,Normal,2468496801,3232285884,0,4,1,10
2025-05-05 10:01:18,162.202.41.232,192.168.198.203,34950,TCP,A,Normal,2731157992,3232286411,0,0,1,10
2025-05-05 10:01:19,192.168.238.76,192.168.34.134,57072,TCP,F,Normal,3232296524,3232244358,0,1,1,10
2025-05-05 10:01:20,53.144.141.174,192.168.186.113,40587,UDP,,Normal,898665902,3232283249,1,5,1,10
2025-05-05 10:01:21,192.168.69.222,192.168.126.55,48523,TCP,R,Normal,3232253406,3232267831,0,3,1,10
2025-05-05 10:01:22,148.78.33.137,192.168.108.201,3299,UDP,,Normal,2488148361,3232263369,1,5,1,10
2025-05-05 10:01:23,85.149.94.134,192.168.80.108,30655,TCP,A,Normal,1435852422,3232256108,0,0,1,10
2025-05-05 10:01:24,192.168.91.72,192.168.142.247,42397,UDP,,Normal,3232258888,3232272119,1,5,1,10
2025-05-05 10:01:25,192.168.213.178,192.168.73.252,57703,TCP,S,DDoS,3232290226,3232254460,0,4,0,10
2025-05-05 10:01:26,233.203.166.95,192.168.214.243,8967,UDP,,DDoS,3922437727,3232290547,1,5,0,10
2025-05-05 10:01:27,19.109.59.17,192.168.172.131,63082,TCP,A,Normal,325925649,3232279683,0,0,1,10
2025-05-05 10:01:28,192.168.89.97,192.168.214.65,14293,UDP,,Normal,3232258401,3232290369,1,5,1,10
2025-05-05 10:01:29,255.220.56.28,192.168.145.116,10951,UDP,,Normal,4292622364,3232272756,1,5,1,10
2025-05-05 10:01:30,192.168.66.231,192.168.119.171,62723,TCP,P,Normal,3232252647,3232266155,0,2,1,10
2025-05-05 10:01:31,192.168.48.1,192.168.173.154,24955,TCP,S,SYN Flood,3232247809,3232279962,0,4,3,10
2025-05-05 10:01:32,248.22.38.15,192.168.83.191,60536,UDP,,Normal,4162201103,3232256959,1,5,1,10
2025-05-05 10:01:33,7.142.75.8,192.168.160.100,44716,TCP,P,Port Scan,126765832,3232276580,0,2,2,10
2025-05-05 10:01:34,174.167.100.4,192.168.27.245,1353,TCP,S,DDoS,2930205700,3232242677,0,4,0,10
2025-05-05 10:01:35,192.168.244.229,192.168.47.138,19914,UDP,,DDoS,3232298213,3232247690,1,5,0,10
2025-05-05 10:01:36,91.19.156.144,192.168.29.52,65362,UDP,,Normal,1528011920,3232242996,1,5,1,10
2025-05-05 10:01:37,214.19.126.40,192.168.70.217,8757,TCP,A,Normal,3591601704,3232253657,0,0,1,10
2025-05-05 10:01:38,192.168.199.148,192.168.70.220,1177,TCP,F,SYN Flood,3232286612,3232253660,0,1,3,10
2025-05-05 10:01:39,196.91.31.199,192.168.62.106,11763,UDP,,Normal,3294306247,3232251498,1,5,1,10
2025-05-05 10:01:40,192.168.254.105,192.168.135.53,60949,TCP,F,Normal,3232300649,3232270133,0,1,1,10
2025-05-05 10:01:41,192.168.240.244,192.168.207.243,64633,UDP,,Normal,3232297204,3232288755,1,5,1,10
2025-05-05 10:01:42,192.168.81.50,192.168.186.38,41360,TCP,F,Normal,3232256306,3232283174,0,1,1,10
2025-05-05 10:01:43,118.234.139.235,192.168.122.160,16413,UDP,,SYN Flood,1995082731,3232266912,1,5,3,10
2025-05-05 10:01:44,192.168.168.155,192.168.37.34,44981,TCP,F,Normal,3232278683,3232245026,0,1,1,10
2025-05-05 10:01:45,13.88.69.77,192.168.22.56,9689,UDP,,SYN Flood,223888717,3232241208,1,5,3,10
2025-05-05 10:01:46,192.168.78.210,192.168.49.145,63597,TCP,R,SYN Flood,3232255698,3232248209,0,3,3,10
2025-05-05 10:01:47,192.168.243.222,192.168.245.212,46354,UDP,,DDoS,3232297950,3232298452,1,5,0,10
2025-05-05 10:01:48,192.168.176.37,192.168.196.132,8822,TCP,A,Normal,3232280613,3232285828,0,0,1,10
2025-05-05 10:01:49,3.158.195.14,192.168.223.60,64576,TCP,S,Normal,60736270,3232292668,0,4,1,10
2025-05-05 10:01:50,192.168.28.114,192.168.213.26,6743,TCP,A,Normal,3232242802,3232290074,0,0,1,10
2025-05-05 10:01:51,192.168.158.133,192.168.41.230,31850,UDP,,Port Scan,3232276101,3232246246,1,5,2,10
2025-05-05 10:01:52,192.168.255.89,192.168.149.165,15544,UDP,,Normal,3232300889,3232273829,1,5,1,10
2025-05-05 10:01:53,43.31.87.155,192.168.85.131,37050,TCP,F,Normal,723474331,3232257411,0,1,1,10
2025-05-05 10:01:54,192.168.143.79,192.168.28.212,26314,TCP,A,Normal,3232272207,3232242900,0,0,1,10
2025-05-05 10:01:55,220.165.152.64,192.168.108.194,30530,UDP,,SYN Flood,3701839936,3232263362,1,5,3,10
2025-05-05 10:01:56,192.168.179.194,192.168.114.75,60678,UDP,,Port Scan,3232281538,3232264779,1,5,2,10
2025-05-05 10:01:57,192.168.83.152,192.168.132.88,59868,UDP,,Normal,3232256920,3232269400,1,5,1,10
2025-05-05 10:01:58,192.168.88.33,192.168.99.91,1369,UDP,,DDoS,3232258081,3232260955,1,5,0,10
2025-05-05 10:01:59,192.168.11.9,192.168.57.88,2138,TCP,P,Normal,3232238345,3232250200,0,2,1,10
2025-05-05 10:02:00,192.168.163.209,192.168.16.185,63749,TCP,P,DDoS,3232277457,3232239801,0,2,0,10
2025-05-05 10:02:01,192.168.154.109,192.168.202.71,34662,UDP,,DDoS,3232275053,3232287303,1,5,0,10
2025-05-05 10:02:02,192.168.229.164,192.168.72.240,35903,UDP,,Normal,3232294308,3232254192,1,5,1,10
2025-05-05 10:02:03,94.226.180.50,192.168.108.158,13362,TCP,F,Port Scan,1591915570,3232263326,0,1,2,10
2025-05-05 10:02:04,50.17.93.227,192.168.105.86,33300,TCP,A,DDoS,839998947,3232262486,0,0,0,10
2025-05-05 10:02:05,192.168.125.18,192.168.232.85,41189,TCP,S,DDoS,3232267538,3232294997,0,4,0,10
2025-05-05 10:02:06,208.115.247.133,192.168.234.151,14952,TCP,A,Normal,3497260933,3232295575,0,0,1,10
2025-05-05 10:02:07,34.17.76.215,192.168.52.215,64680,UDP,,DDoS,571559127,3232249047,1,5,0,10
2025-05-05 10:02:08,88.99.197.61,192.168.21.226,25311,TCP,P,Normal,1482933565,3232241122,0,2,1,10
2025-05-05 10:02:09,191.128.80.53,192.168.165.194,43390,UDP,,Normal,3212857397,3232277954,1,5,1,10
2025-05-05 10:02:10,192.168.147.26,192.168.204.134,37349,TCP,A,Normal,3232273178,3232287878,0,0,1,10
2025-05-05 10:02:11,192.168.55.155,192.168.220.146,27120,UDP,,Normal,3232249755,3232291986,1,5,1,10
2025-05-05 10:02:12,150.123.185.77,192.168.221.45,18992,UDP,,Normal,2524690765,3232292141,1,5,1,10
2025-05-05 10:02:13,192.168.237.9,192.168.55.139,42326,UDP,,Normal,3232296201,3232249739,1,5,1,10
2025-05-05 10:02:14,192.168.99.111,192.168.10.99,57281,TCP,F,Normal,3232260975,3232238179,0,1,1,10
2025-05-05 10:02:15,206.29.140.244,192.168.68.140,47802,UDP,,Port Scan,3458043124,3232253068,1,5,2,10
2025-05-05 10:02:16,192.168.21.83,192.168.209.36,13204,TCP,P,Normal,3232240979,3232289060,0,2,1,10
2025-05-05 10:02:17,192.168.187.227,192.168.52.222,28856,UDP,,Normal,3232283619,3232249054,1,5,1,10
2025-05-05 10:02:18,158.109.143.159,192.168.91.189,41657,UDP,,DDoS,2657980319,3232259005,1,5,0,10
2025-05-05 10:02:19,97.197.152.197,192.168.123.100,17200,UDP,,Normal,1640339653,3232267108,1,5,1,10
2025-05-05 10:02:20,241.155.27.39,192.168.163.24,2550,UDP,,Normal,4053474087,3232277272,1,5,1,10
2025-05-05 10:02:21,192.168.157.151,192.168.130.72,4660,TCP,S,Normal,3232275863,3232268872,0,4,1,10
2025-05-05 10:02:22,34.127.83.187,192.168.212.240,12000,TCP,R,SYN Flood,578769851,3232290032,0,3,3,10
2025-05-05 10:02:23,133.210.90.137,192.168.235.141,43596,UDP,,Normal,2245155465,3232295821,1,5,1,10
2025-05-05 10:02:24,192.168.234.81,192.168.255.123,46089,TCP,F,Normal,3232295505,3232300923,0,1,1,10
2025-05-05 10:02:25,192.168.141.1,192.168.236.107,48434,UDP,,Normal,3232271617,3232296043,1,5,1,10
2025-05-05 10:02:26,155.95.192.25,192.168.120.93,32260,UDP,,SYN Flood,2606743577,3232266333,1,5,3,10
