timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque
2025-05-05 10:00:00,192.168.184.223,192.168.157.176,31807,TCP,A,Normal
2025-05-05 10:00:01,192.168.220.105,192.168.50.191,58463,TCP,P,Normal
2025-05-05 10:00:02,192.168.11.179,192.168.204.173,22134,UDP,,Port Scan
2025-05-05 10:00:03,192.168.179.87,192.168.49.30,3758,TCP,S,Port Scan
2025-05-05 10:00:04,192.168.135.24,192.168.120.19,30451,TCP,A,DDoS
2025-05-05 10:00:05,115.212.32.54,192.168.72.192,2679,UDP,,Normal
2025-05-05 10:00:06,197.10.100.128,192.168.20.32,29745,TCP,F,Normal
2025-05-05 10:00:07,204.142.47.49,192.168.51.206,60311,UDP,,SYN Flood
2025-05-05 10:00:08,210.193.193.136,192.168.140.71,37549,TCP,R,Normal
2025-05-05 10:00:09,192.168.181.83,192.168.122.47,62072,UDP,,DDoS
2025-05-05 10:00:10,92.106.228.61,192.168.232.42,11529,UDP,,SYN Flood
2025-05-05 10:00:11,173.138.96.253,192.168.108.222,50632,UDP,,SYN Flood
2025-05-05 10:00:12,144.142.176.80,192.168.14.153,42792,UDP,,Normal
2025-05-05 10:00:13,44.102.163.226,192.168.209.252,57686,UDP,,Normal
2025-05-05 10:00:14,18.209.34.193,192.168.116.123,49203,UDP,,Normal
2025-05-05 10:00:15,192.168.53.13,192.168.34.101,48292,TCP,R,Normal
2025-05-05 10:00:16,247.140.162.46,192.168.184.61,58185,UDP,,DDoS
2025-05-05 10:00:17,192.168.135.65,192.168.7.190,47848,UDP,,DDoS
2025-05-05 10:00:18,192.168.54.177,192.168.204.178,42524,TCP,F,Normal
2025-05-05 10:00:19,192.168.201.251,192.168.177.44,44397,UDP,,Normal
2025-05-05 10:00:20,44.251.12.253,192.168.178.69,7745,UDP,,Normal
2025-05-05 10:00:21,192.168.129.113,192.168.181.203,17900,TCP,R,Normal
2025-05-05 10:00:22,192.168.168.65,192.168.41.233,9472,UDP,,Normal
2025-05-05 10:00:23,226.133.163.216,192.168.216.135,46246,UDP,,Port Scan
2025-05-05 10:00:24,192.168.254.196,192.168.143.25,9673,TCP,R,Normal
2025-05-05 10:00:25,192.168.178.242,192.168.185.198,21837,UDP,,Port Scan
2025-05-05 10:00:26,127.127.240.76,192.168.93.253,26723,UDP,,SYN Flood
2025-05-05 10:00:27,192.168.16.95,192.168.187.152,40623,TCP,S,Normal
2025-05-05 10:00:28,192.168.218.222,192.168.106.127,1356,UDP,,Normal
2025-05-05 10:00:29,23.119.135.230,192.168.117.203,16023,UDP,,Normal
2025-05-05 10:00:30,107.38.122.235,192.168.212.242,15294,TCP,R,Normal
2025-05-05 10:00:31,183.189.205.173,192.168.90.79,57171,UDP,,Port Scan
2025-05-05 10:00:32,116.137.6.37,192.168.3.9,50547,UDP,,Normal
2025-05-05 10:00:33,30.216.231.6,192.168.228.192,51806,TCP,F,SYN Flood
2025-05-05 10:00:34,177.72.161.222,192.168.228.78,29396,TCP,A,Normal
2025-05-05 10:00:35,192.168.55.41,192.168.39.252,520,TCP,S,Normal
2025-05-05 10:00:36,186.123.95.90,192.168.71.35,17469,UDP,,Normal
2025-05-05 10:00:37,192.168.212.171,192.168.77.109,3158,TCP,S,Normal
2025-05-05 10:00:38,192.168.229.190,192.168.43.46,34246,UDP,,DDoS
2025-05-05 10:00:39,126.154.186.41,192.168.231.203,35742,TCP,P,Normal
2025-05-05 10:00:40,192.168.12.207,192.168.191.175,29048,UDP,,Normal
2025-05-05 10:00:41,192.168.204.1,192.168.46.61,35775,TCP,F,Normal
2025-05-05 10:00:42,27.7.196.150,192.168.119.200,43441,TCP,A,Normal
2025-05-05 10:00:43,53.186.97.89,192.168.121.100,5472,UDP,,Normal
2025-05-05 10:00:44,192.168.54.119,192.168.34.118,33424,TCP,F,Normal
2025-05-05 10:00:45,192.168.168.234,192.168.255.28,28111,UDP,,Normal
2025-05-05 10:00:46,192.168.96.103,192.168.44.42,40707,TCP,A,SYN Flood
2025-05-05 10:00:47,123.221.221.103,192.168.167.65,1846,UDP,,Normal
2025-05-05 10:00:48,192.168.183.88,192.168.249.251,22937,UDP,,Normal
2025-05-05 10:00:49,19.203.73.32,192.168.88.227,2602,TCP,A,DDoS
2025-05-05 10:00:50,96.39.142.244,192.168.42.102,63250,TCP,S,Normal
2025-05-05 10:00:51,192.168.18.128,192.168.105.225,52564,TCP,S,Normal
