timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque
2025-05-20 22:57:57,192.168.159.72,192.168.90.79,25,TCP,R,Normal
2025-05-20 22:57:59,192.168.159.72,192.168.103.237,22,UDP,,Normal
2025-05-20 22:58:00,192.168.159.72,192.168.76.47,80,TCP,P,Normal
2025-05-20 22:58:02,192.168.159.72,192.168.167.150,80,TCP,P,Normal
2025-05-20 22:58:01,192.168.159.72,192.168.77.163,25,TCP,F,Normal
2025-05-20 22:58:04,192.168.159.72,192.168.240.217,25,TCP,R,Normal
2025-05-20 22:58:03,192.168.159.72,192.168.201.29,80,UDP,,Normal
2025-05-20 22:58:04,192.168.159.72,192.168.25.129,25,UDP,,Normal
2025-05-20 22:58:12,192.168.159.72,192.168.255.223,80,UDP,,Normal
2025-05-20 22:58:06,192.168.159.72,192.168.229.214,53,UDP,,Normal
2025-05-20 22:58:11,192.168.159.72,192.168.229.35,80,UDP,,Normal
2025-05-20 22:58:11,192.168.159.72,192.168.151.137,53,UDP,,Normal
2025-05-20 22:58:20,192.168.159.72,192.168.127.226,22,TCP,R,Normal
2025-05-20 22:58:12,192.168.159.72,192.168.247.196,25,TCP,S,Normal
2025-05-20 22:58:18,192.168.159.72,192.168.212.241,22,UDP,,Normal
2025-05-20 22:58:10,192.168.159.72,192.168.40.186,25,TCP,F,Normal
2025-05-20 22:58:19,192.168.159.72,192.168.42.245,80,TCP,R,Normal
2025-05-20 22:58:19,192.168.159.72,192.168.254.248,53,TCP,,Normal
2025-05-20 22:58:15,192.168.159.72,192.168.154.30,443,UDP,,Normal
2025-05-20 22:58:11,192.168.159.72,192.168.223.81,443,UDP,,Normal
2025-05-20 22:58:28,192.168.159.72,192.168.190.174,22,UDP,,Normal
2025-05-20 22:58:30,192.168.159.72,192.168.43.157,53,TCP,S,Normal
2025-05-20 22:58:25,192.168.159.72,192.168.52.229,53,UDP,,Normal
2025-05-20 22:58:18,192.168.159.72,192.168.21.42,443,TCP,P,Normal
2025-05-20 22:58:29,192.168.159.72,192.168.145.8,53,TCP,P,Normal
2025-05-20 22:58:32,192.168.159.72,192.168.243.247,53,UDP,,Normal
2025-05-20 22:58:42,192.168.159.72,192.168.119.192,443,UDP,,Normal
2025-05-20 22:58:22,192.168.159.72,192.168.254.238,22,TCP,R,Normal
2025-05-20 22:58:41,192.168.159.72,192.168.153.76,22,TCP,F,Normal
2025-05-20 22:58:18,192.168.159.72,192.168.133.243,22,TCP,S,Normal
2025-05-20 22:58:33,192.168.159.72,192.168.100.223,80,UDP,,Normal
2025-05-20 22:58:43,192.168.159.72,192.168.233.145,25,UDP,,Normal
2025-05-20 22:58:27,192.168.159.72,192.168.65.9,80,UDP,,Normal
2025-05-20 22:58:26,192.168.159.72,192.168.113.216,25,UDP,,Normal
2025-05-20 22:58:40,192.168.159.72,192.168.68.29,53,TCP,,Normal
2025-05-20 22:58:52,192.168.159.72,192.168.247.51,443,UDP,,Normal
2025-05-20 22:58:18,192.168.159.72,192.168.2.101,25,UDP,,Normal
2025-05-20 22:59:11,192.168.159.72,192.168.73.244,80,UDP,,Normal
2025-05-20 22:59:13,192.168.159.72,192.168.187.70,22,UDP,,Normal
2025-05-20 22:58:45,192.168.159.72,192.168.137.102,53,UDP,,Normal
2025-05-20 22:58:26,192.168.159.72,192.168.214.179,53,UDP,,Normal
2025-05-20 22:59:05,192.168.159.72,192.168.37.203,53,TCP,A,Normal
2025-05-20 22:58:50,192.168.159.72,192.168.58.184,22,TCP,,Normal
2025-05-20 22:59:10,192.168.159.72,192.168.86.2,25,TCP,,Normal
2025-05-20 22:58:35,192.168.159.72,192.168.101.78,53,TCP,R,Normal
2025-05-20 22:58:54,192.168.159.72,192.168.59.138,53,UDP,,Normal
2025-05-20 22:59:28,192.168.159.72,192.168.237.105,53,TCP,P,Normal
2025-05-20 22:58:57,192.168.159.72,192.168.62.216,53,UDP,,Normal
2025-05-20 22:59:02,192.168.159.72,192.168.98.199,53,UDP,,Normal
2025-05-20 22:58:26,192.168.159.72,192.168.111.236,25,UDP,,Normal
2025-05-20 22:57:57,192.168.224.120,192.168.191.188,80,TCP,P,Normal
2025-05-20 22:57:58,192.168.224.120,192.168.183.126,22,UDP,,Normal
2025-05-20 22:58:01,192.168.224.120,192.168.243.200,25,UDP,,Normal
2025-05-20 22:58:01,192.168.224.120,192.168.234.148,22,TCP,R,Normal
2025-05-20 22:58:00,192.168.224.120,192.168.108.62,53,TCP,R,Normal
2025-05-20 22:58:05,192.168.224.120,192.168.82.52,53,TCP,P,Normal
2025-05-20 22:58:02,192.168.224.120,192.168.59.196,80,UDP,,Normal
2025-05-20 22:58:09,192.168.224.120,192.168.182.222,53,UDP,,Normal
2025-05-20 22:58:05,192.168.224.120,192.168.60.237,22,UDP,,Normal
2025-05-20 22:58:11,192.168.224.120,192.168.53.199,25,TCP,S,Normal
2025-05-20 22:58:15,192.168.224.120,192.168.234.70,80,UDP,,Normal
2025-05-20 22:58:06,192.168.224.120,192.168.5.155,443,TCP,,Normal
2025-05-20 22:58:09,192.168.224.120,192.168.234.39,22,UDP,,Normal
