timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque,tipo_ataque_clean,hour,minute,protocol_num,flag_num,src_ip_3oct,dst_ip_3oct
2025-05-20 22:57:57,192.168.159.72,192.168.90.79,25,TCP,R,Normal,Normal,22.0,57.0,0.0,5,159,90
2025-05-20 22:57:59,192.168.159.72,192.168.103.237,22,UDP,NoFlag,Normal,Normal,22.0,57.0,1.0,3,159,103
2025-05-20 22:58:00,192.168.159.72,192.168.76.47,80,TCP,P,Normal,Normal,22.0,58.0,0.0,4,159,76
2025-05-20 22:58:02,192.168.159.72,192.168.167.150,80,TCP,P,Normal,Normal,22.0,58.0,0.0,4,159,167
2025-05-20 22:58:01,192.168.159.72,192.168.77.163,25,TCP,F,Normal,Normal,22.0,58.0,0.0,1,159,77
2025-05-20 22:58:04,192.168.159.72,192.168.240.217,25,TCP,R,Normal,Normal,22.0,58.0,0.0,5,159,240
2025-05-20 22:58:03,192.168.159.72,192.168.201.29,80,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,201
2025-05-20 22:58:04,192.168.159.72,192.168.25.129,25,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,25
2025-05-20 22:58:12,192.168.159.72,192.168.255.223,80,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,255
2025-05-20 22:58:06,192.168.159.72,192.168.229.214,53,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,229
2025-05-20 22:58:11,192.168.159.72,192.168.229.35,80,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,229
2025-05-20 22:58:11,192.168.159.72,192.168.151.137,53,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,151
2025-05-20 22:58:20,192.168.159.72,192.168.127.226,22,TCP,R,Normal,Normal,22.0,58.0,0.0,5,159,127
2025-05-20 22:58:12,192.168.159.72,192.168.247.196,25,TCP,S,Normal,Normal,22.0,58.0,0.0,6,159,247
2025-05-20 22:58:18,192.168.159.72,192.168.212.241,22,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,212
2025-05-20 22:58:10,192.168.159.72,192.168.40.186,25,TCP,F,Normal,Normal,22.0,58.0,0.0,1,159,40
2025-05-20 22:58:19,192.168.159.72,192.168.42.245,80,TCP,R,Normal,Normal,22.0,58.0,0.0,5,159,42
2025-05-20 22:58:19,192.168.159.72,192.168.254.248,53,TCP,NoFlag,Normal,Normal,22.0,58.0,0.0,3,159,254
2025-05-20 22:58:15,192.168.159.72,192.168.154.30,443,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,154
2025-05-20 22:58:11,192.168.159.72,192.168.223.81,443,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,223
2025-05-20 22:58:28,192.168.159.72,192.168.190.174,22,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,190
2025-05-20 22:58:30,192.168.159.72,192.168.43.157,53,TCP,S,Normal,Normal,22.0,58.0,0.0,6,159,43
2025-05-20 22:58:25,192.168.159.72,192.168.52.229,53,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,52
2025-05-20 22:58:18,192.168.159.72,192.168.21.42,443,TCP,P,Normal,Normal,22.0,58.0,0.0,4,159,21
2025-05-20 22:58:29,192.168.159.72,192.168.145.8,53,TCP,P,Normal,Normal,22.0,58.0,0.0,4,159,145
2025-05-20 22:58:32,192.168.159.72,192.168.243.247,53,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,243
2025-05-20 22:58:42,192.168.159.72,192.168.119.192,443,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,119
2025-05-20 22:58:22,192.168.159.72,192.168.254.238,22,TCP,R,Normal,Normal,22.0,58.0,0.0,5,159,254
2025-05-20 22:58:41,192.168.159.72,192.168.153.76,22,TCP,F,Normal,Normal,22.0,58.0,0.0,1,159,153
2025-05-20 22:58:18,192.168.159.72,192.168.133.243,22,TCP,S,Normal,Normal,22.0,58.0,0.0,6,159,133
2025-05-20 22:58:33,192.168.159.72,192.168.100.223,80,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,100
2025-05-20 22:58:43,192.168.159.72,192.168.233.145,25,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,233
2025-05-20 22:58:27,192.168.159.72,192.168.65.9,80,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,65
2025-05-20 22:58:26,192.168.159.72,192.168.113.216,25,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,113
2025-05-20 22:58:40,192.168.159.72,192.168.68.29,53,TCP,NoFlag,Normal,Normal,22.0,58.0,0.0,3,159,68
2025-05-20 22:58:52,192.168.159.72,192.168.247.51,443,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,247
2025-05-20 22:58:18,192.168.159.72,192.168.2.101,25,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,2
2025-05-20 22:59:11,192.168.159.72,192.168.73.244,80,UDP,NoFlag,Normal,Normal,22.0,59.0,1.0,3,159,73
2025-05-20 22:59:13,192.168.159.72,192.168.187.70,22,UDP,NoFlag,Normal,Normal,22.0,59.0,1.0,3,159,187
2025-05-20 22:58:45,192.168.159.72,192.168.137.102,53,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,137
2025-05-20 22:58:26,192.168.159.72,192.168.214.179,53,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,214
2025-05-20 22:59:05,192.168.159.72,192.168.37.203,53,TCP,A,Normal,Normal,22.0,59.0,0.0,0,159,37
2025-05-20 22:58:50,192.168.159.72,192.168.58.184,22,TCP,NoFlag,Normal,Normal,22.0,58.0,0.0,3,159,58
2025-05-20 22:59:10,192.168.159.72,192.168.86.2,25,TCP,NoFlag,Normal,Normal,22.0,59.0,0.0,3,159,86
2025-05-20 22:58:35,192.168.159.72,192.168.101.78,53,TCP,R,Normal,Normal,22.0,58.0,0.0,5,159,101
2025-05-20 22:58:54,192.168.159.72,192.168.59.138,53,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,59
2025-05-20 22:59:28,192.168.159.72,192.168.237.105,53,TCP,P,Normal,Normal,22.0,59.0,0.0,4,159,237
2025-05-20 22:58:57,192.168.159.72,192.168.62.216,53,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,62
2025-05-20 22:59:02,192.168.159.72,192.168.98.199,53,UDP,NoFlag,Normal,Normal,22.0,59.0,1.0,3,159,98
2025-05-20 22:58:26,192.168.159.72,192.168.111.236,25,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,159,111
2025-05-20 22:57:57,192.168.224.120,192.168.191.188,80,TCP,P,Normal,Normal,22.0,57.0,0.0,4,224,191
2025-05-20 22:57:58,192.168.224.120,192.168.183.126,22,UDP,NoFlag,Normal,Normal,22.0,57.0,1.0,3,224,183
2025-05-20 22:58:01,192.168.224.120,192.168.243.200,25,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,224,243
2025-05-20 22:58:01,192.168.224.120,192.168.234.148,22,TCP,R,Normal,Normal,22.0,58.0,0.0,5,224,234
2025-05-20 22:58:00,192.168.224.120,192.168.108.62,53,TCP,R,Normal,Normal,22.0,58.0,0.0,5,224,108
2025-05-20 22:58:05,192.168.224.120,192.168.82.52,53,TCP,P,Normal,Normal,22.0,58.0,0.0,4,224,82
2025-05-20 22:58:02,192.168.224.120,192.168.59.196,80,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,224,59
2025-05-20 22:58:09,192.168.224.120,192.168.182.222,53,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,224,182
2025-05-20 22:58:05,192.168.224.120,192.168.60.237,22,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,224,60
2025-05-20 22:58:11,192.168.224.120,192.168.53.199,25,TCP,S,Normal,Normal,22.0,58.0,0.0,6,224,53
2025-05-20 22:58:15,192.168.224.120,192.168.234.70,80,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,224,234
2025-05-20 22:58:06,192.168.224.120,192.168.5.155,443,TCP,NoFlag,Normal,Normal,22.0,58.0,0.0,3,224,5
2025-05-20 22:58:09,192.168.224.120,192.168.234.39,22,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,224,234
2025-05-20 22:58:17,192.168.224.120,192.168.90.162,80,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,224,90
2025-05-20 22:58:10,192.168.224.120,192.168.211.87,25,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,224,211
2025-05-20 22:58:08,192.168.224.120,192.168.255.38,443,UDP,NoFlag,Normal,Normal,22.0,58.0,1.0,3,224,255
2025-05-20 22:58:20,192.168.224.120,192.168.63.8,53,TCP,R,Normal,Normal,22.0,58.0,0.0,5,224,63
