timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque
2025-05-23 16:00:28,192.168.72.217,192.168.79.9,25,TCP,,Normal
2025-05-23 16:00:29,192.168.72.217,192.168.90.57,80,TCP,S,Normal
2025-05-23 16:00:29,192.168.72.217,192.168.235.215,443,TCP,,Normal
2025-05-23 16:00:30,192.168.72.217,192.168.116.119,25,UDP,,Normal
2025-05-23 16:00:31,192.168.72.217,192.168.88.79,53,TCP,,Normal
2025-05-23 16:00:32,192.168.72.217,192.168.92.57,25,TCP,R,Normal
2025-05-23 16:00:37,192.168.72.217,192.168.160.109,22,TCP,F,Normal
2025-05-23 16:00:41,192.168.72.217,192.168.42.95,443,UDP,,Normal
2025-05-23 16:00:34,192.168.72.217,192.168.23.129,443,TCP,S,Normal
2025-05-23 16:00:41,192.168.72.217,192.168.31.11,53,TCP,S,Normal
2025-05-23 16:00:46,192.168.72.217,192.168.214.205,25,TCP,,Normal
2025-05-23 16:00:45,192.168.72.217,192.168.138.107,53,UDP,,Normal
2025-05-23 16:00:50,192.168.72.217,192.168.140.89,25,TCP,F,Normal
2025-05-23 16:00:41,192.168.72.217,192.168.198.133,22,UDP,,Normal
2025-05-23 16:00:42,192.168.72.217,192.168.111.227,53,TCP,F,Normal
2025-05-23 16:00:42,192.168.72.217,192.168.152.119,25,UDP,,Normal
2025-05-23 16:00:53,192.168.72.217,192.168.106.88,53,UDP,,Normal
2025-05-23 16:00:52,192.168.72.217,192.168.62.50,53,UDP,,Normal
2025-05-23 16:01:01,192.168.72.217,192.168.255.181,80,UDP,,Normal
2025-05-23 16:00:54,192.168.72.217,192.168.101.24,443,UDP,,Normal
2025-05-23 16:00:50,192.168.72.217,192.168.254.159,53,UDP,,Normal
2025-05-23 16:01:07,192.168.72.217,192.168.140.112,443,TCP,R,Normal
2025-05-23 16:01:08,192.168.72.217,192.168.5.80,443,TCP,F,Normal
2025-05-23 16:01:02,192.168.72.217,192.168.209.104,443,TCP,F,Normal
2025-05-23 16:01:15,192.168.72.217,192.168.22.61,25,TCP,F,Normal
2025-05-23 16:00:42,192.168.72.217,192.168.210.244,443,UDP,,Normal
2025-05-23 16:00:53,192.168.72.217,192.168.107.85,80,TCP,,Normal
2025-05-23 16:01:19,192.168.72.217,192.168.234.86,22,TCP,R,Normal
2025-05-23 16:00:52,192.168.72.217,192.168.105.194,22,UDP,,Normal
2025-05-23 16:01:12,192.168.72.217,192.168.184.86,53,UDP,,Normal
2025-05-23 16:01:22,192.168.72.217,192.168.190.98,25,TCP,F,Normal
2025-05-23 16:01:13,192.168.72.217,192.168.16.122,22,UDP,,Normal
2025-05-23 16:01:31,192.168.72.217,192.168.159.131,443,TCP,,Normal
2025-05-23 16:00:55,192.168.72.217,192.168.26.122,443,UDP,,Normal
2025-05-23 16:00:50,192.168.72.217,192.168.38.169,25,UDP,,Normal
2025-05-23 16:00:54,192.168.72.217,192.168.192.1,25,TCP,A,Normal
2025-05-23 16:01:23,192.168.72.217,192.168.23.61,22,UDP,,Normal
2025-05-23 16:00:56,192.168.72.217,192.168.255.163,80,UDP,,Normal
2025-05-23 16:00:47,192.168.72.217,192.168.79.171,22,UDP,,Normal
2025-05-23 16:01:05,192.168.72.217,192.168.216.25,22,TCP,R,Normal
2025-05-23 16:01:31,192.168.72.217,192.168.248.222,53,TCP,A,Normal
2025-05-23 16:01:30,192.168.72.217,192.168.115.216,80,UDP,,Normal
2025-05-23 16:00:57,192.168.72.217,192.168.183.114,25,TCP,R,Normal
2025-05-23 16:01:05,192.168.72.217,192.168.209.98,443,TCP,R,Normal
2025-05-23 16:01:25,192.168.72.217,192.168.203.219,443,TCP,P,Normal
2025-05-23 16:01:42,192.168.72.217,192.168.135.17,443,UDP,,Normal
2025-05-23 16:01:08,192.168.72.217,192.168.148.249,25,TCP,,Normal
2025-05-23 16:01:47,192.168.72.217,192.168.28.13,53,UDP,,Normal
2025-05-23 16:00:56,192.168.72.217,192.168.145.51,53,TCP,F,Normal
2025-05-23 16:01:13,192.168.72.217,192.168.41.87,25,UDP,,Normal
2025-05-23 16:00:28,192.168.53.136,192.168.0.128,53,TCP,P,Normal
2025-05-23 16:00:28,192.168.53.136,192.168.205.210,22,UDP,,Normal
2025-05-23 16:00:31,192.168.53.136,192.168.216.134,25,UDP,,Normal
2025-05-23 16:00:33,192.168.53.136,192.168.255.42,25,TCP,A,Normal
2025-05-23 16:00:34,192.168.53.136,192.168.110.162,80,TCP,,Normal
2025-05-23 16:00:32,192.168.53.136,192.168.109.64,443,UDP,,Normal
2025-05-23 16:00:34,192.168.53.136,192.168.116.178,53,TCP,P,Normal
2025-05-23 16:00:35,192.168.53.136,192.168.13.161,443,TCP,S,Normal
2025-05-23 16:00:34,192.168.53.136,192.168.203.233,443,UDP,,Normal
2025-05-23 16:00:33,192.168.53.136,192.168.191.222,80,UDP,,Normal
2025-05-23 16:00:45,192.168.53.136,192.168.118.139,25,UDP,,Normal
2025-05-23 16:00:49,192.168.53.136,192.168.16.241,443,TCP,F,Normal
2025-05-23 16:00:49,192.168.53.136,192.168.122.201,80,TCP,F,Normal
2025-05-23 16:00:49,192.168.53.136,192.168.219.74,22,TCP,A,Normal
2025-05-23 16:00:44,192.168.53.136,192.168.97.88,22,TCP,R,Normal
2025-05-23 16:00:46,192.168.53.136,192.168.48.38,25,TCP,,Normal
2025-05-23 16:00:39,192.168.53.136,192.168.152.30,80,UDP,,Normal
2025-05-23 16:00:45,192.168.53.136,192.168.194.199,25,TCP,S,Normal
2025-05-23 16:00:55,192.168.53.136,192.168.68.117,25,TCP,F,Normal
2025-05-23 16:00:39,192.168.53.136,192.168.46.121,443,UDP,,Normal
2025-05-23 16:00:49,192.168.53.136,192.168.88.225,443,UDP,,Normal
2025-05-23 16:00:55,192.168.53.136,192.168.91.133,53,TCP,A,Normal
2025-05-23 16:00:47,192.168.53.136,192.168.192.203,53,UDP,,Normal
2025-05-23 16:01:10,192.168.53.136,192.168.237.25,443,TCP,R,Normal
