timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque
2025-05-20 23:54:57,192.168.235.11,192.168.242.237,80,TCP,P,Normal
2025-05-20 23:54:58,192.168.235.11,192.168.36.106,22,TCP,F,Normal
2025-05-20 23:54:58,192.168.235.11,192.168.56.9,22,UDP,,Normal
2025-05-20 23:55:02,192.168.235.11,192.168.116.7,53,UDP,,Normal
2025-05-20 23:55:02,192.168.235.11,192.168.245.51,80,TCP,A,Normal
2025-05-20 23:55:01,192.168.235.11,192.168.239.155,22,UDP,,Normal
2025-05-20 23:55:01,192.168.235.11,192.168.202.74,22,TCP,P,Normal
2025-05-20 23:55:03,192.168.235.11,192.168.102.115,53,UDP,,Normal
2025-05-20 23:55:09,192.168.235.11,192.168.114.26,22,UDP,,Normal
2025-05-20 23:55:10,192.168.235.11,192.168.148.80,25,UDP,,Normal
2025-05-20 23:55:05,192.168.235.11,192.168.212.177,25,UDP,,Normal
2025-05-20 23:55:14,192.168.235.11,192.168.79.140,53,TCP,S,Normal
2025-05-20 23:55:16,192.168.235.11,192.168.173.31,443,UDP,,Normal
2025-05-20 23:55:14,192.168.235.11,192.168.77.127,25,TCP,P,Normal
2025-05-20 23:55:05,192.168.235.11,192.168.122.232,53,UDP,,Normal
2025-05-20 23:55:17,192.168.235.11,192.168.41.75,80,TCP,S,Normal
2025-05-20 23:55:13,192.168.235.11,192.168.187.250,443,TCP,R,Normal
2025-05-20 23:55:06,192.168.235.11,192.168.136.244,53,TCP,P,Normal
2025-05-20 23:55:08,192.168.235.11,192.168.155.136,25,TCP,F,Normal
2025-05-20 23:55:15,192.168.235.11,192.168.69.57,53,TCP,,Normal
2025-05-20 23:55:37,192.168.235.11,192.168.183.75,53,UDP,,Normal
2025-05-20 23:55:27,192.168.235.11,192.168.107.131,443,UDP,,Normal
2025-05-20 23:55:30,192.168.235.11,192.168.210.207,53,UDP,,Normal
2025-05-20 23:55:42,192.168.235.11,192.168.133.75,80,UDP,,Normal
2025-05-20 23:55:39,192.168.235.11,192.168.137.87,25,UDP,,Normal
2025-05-20 23:55:13,192.168.235.11,192.168.24.84,22,TCP,R,Normal
2025-05-20 23:55:42,192.168.235.11,192.168.48.86,53,UDP,,Normal
2025-05-20 23:55:11,192.168.235.11,192.168.180.22,22,TCP,S,Normal
2025-05-20 23:55:30,192.168.235.11,192.168.71.155,53,UDP,,Normal
2025-05-20 23:55:38,192.168.235.11,192.168.72.3,25,UDP,,Normal
2025-05-20 23:55:43,192.168.235.11,192.168.94.3,25,TCP,A,Normal
2025-05-20 23:55:17,192.168.235.11,192.168.147.84,25,UDP,,Normal
2025-05-20 23:55:22,192.168.235.11,192.168.11.24,53,TCP,P,Normal
2025-05-20 23:55:22,192.168.235.11,192.168.236.35,80,UDP,,Normal
2025-05-20 23:55:23,192.168.235.11,192.168.18.70,22,UDP,,Normal
2025-05-20 23:55:51,192.168.235.11,192.168.101.142,22,UDP,,Normal
2025-05-20 23:55:25,192.168.235.11,192.168.78.32,25,UDP,,Normal
2025-05-20 23:55:55,192.168.235.11,192.168.153.190,443,TCP,,Normal
2025-05-20 23:55:30,192.168.235.11,192.168.23.178,53,TCP,R,Normal
2025-05-20 23:55:33,192.168.235.11,192.168.205.67,80,TCP,P,Normal
2025-05-20 23:56:16,192.168.235.11,192.168.239.251,22,UDP,,Normal
2025-05-20 23:56:08,192.168.235.11,192.168.50.186,53,UDP,,Normal
2025-05-20 23:56:09,192.168.235.11,192.168.131.82,53,UDP,,Normal
2025-05-20 23:56:13,192.168.235.11,192.168.182.41,25,UDP,,Normal
2025-05-20 23:55:43,192.168.235.11,192.168.171.68,80,TCP,F,Normal
2025-05-20 23:56:23,192.168.235.11,192.168.240.171,53,UDP,,Normal
2025-05-20 23:55:21,192.168.235.11,192.168.32.58,443,UDP,,Normal
2025-05-20 23:55:38,192.168.235.11,192.168.130.217,25,TCP,A,Normal
2025-05-20 23:55:24,192.168.235.11,192.168.209.178,22,UDP,,Normal
2025-05-20 23:55:57,192.168.235.11,192.168.233.243,80,UDP,,Normal
2025-05-20 23:54:57,192.168.55.118,192.168.222.82,22,UDP,,Normal
2025-05-20 23:54:59,192.168.55.118,192.168.209.207,22,UDP,,Normal
2025-05-20 23:55:01,192.168.55.118,192.168.129.118,25,UDP,,Normal
2025-05-20 23:54:59,192.168.55.118,192.168.12.234,53,TCP,P,Normal
