timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque
2025-05-26 19:35:22.344,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.364,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.384,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.404,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.424,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.444,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.464,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.484,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.504,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.524,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.544,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.564,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.584,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.604,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.624,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.644,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.664,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.684,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.704,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.724,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.744,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.764,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.784,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.804,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.824,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.844,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.864,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.884,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.904,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.924,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.944,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.964,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:22.984,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.004,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.024,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.044,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.064,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.084,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.104,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.124,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.144,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.164,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.184,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.204,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.224,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.244,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.264,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.284,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.304,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.324,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.344,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.364,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.384,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.404,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.424,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.444,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.464,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.484,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.504,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.524,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.544,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.564,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.584,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.604,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.624,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.644,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.664,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.684,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.704,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.724,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.744,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.764,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.784,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.804,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.824,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.844,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.864,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.884,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.904,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.924,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.944,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.964,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:23.984,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.004,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.024,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.044,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.064,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.084,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.104,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.124,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.144,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.164,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.184,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.204,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.224,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.244,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.264,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.284,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.304,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.324,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.344,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.364,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.384,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.404,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.424,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.444,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.464,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.484,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.504,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.524,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.544,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.564,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.584,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.604,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.624,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.644,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.664,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.684,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.704,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.724,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.744,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.764,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.784,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.804,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.824,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.844,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.864,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.884,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.904,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.924,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.944,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.964,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:24.984,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.004,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.024,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.044,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.064,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.084,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.104,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.124,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.144,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.164,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.184,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.204,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.224,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.244,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.264,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.284,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.304,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.324,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.344,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.364,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.384,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.404,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.424,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.444,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.464,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.484,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.504,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.524,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.544,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.564,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.584,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.604,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.624,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.644,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.664,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.684,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.704,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.724,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.744,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.764,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.784,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.804,192.168.166.205,192.168.108.32,443,UDP,,DDoS
2025-05-26 19:35:25.824,192.168.166.205,192.168.108.32,443,UDP,,DDoS
