[2026-03-21 12:39:41] IP: 1.2.3.4 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:55:04] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:55:06] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:55:08] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:55:10] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:55:12] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:55:14] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:56:03] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:56:05] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:56:07] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:56:09] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 14:56:11] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:08:46] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:08:48] IP: 203.0.113.50 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:08:51] IP: 20.72.205.209 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:18:59] IP: 149.154.166.110 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:20:20] IP: 8.8.4.4 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:29:23] IP: 192.168.100.208 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:29:25] IP: 192.168.100.208 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:29:27] IP: 192.168.100.208 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:31:10] IP: 67.63.50.173 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:31:13] IP: 14.102.83.155 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
[2026-03-21 15:31:29] IP: 192.168.100.86 | Acción: BLOQUEO_AUTOMATICO | Duración: 60 min
